vendor_name,start_date,end_date,is_active
"Gibson, Meyers and Lopez",2025-06-19,2026-10-04,True
Savage LLC,2025-04-09,2026-09-30,True
White-Morgan,2025-06-09,2026-08-03,True
Gutierrez-Franklin,2025-05-26,2026-04-14,True
Mcdowell Group,2025-07-31,2026-05-27,True
Ross-Gonzalez,2025-11-19,2026-08-01,True
"Adams, Webb and Hamilton",2025-12-20,2026-03-26,True
Lopez-Garner,2025-09-19,2026-06-04,True
Bush LLC,2025-10-10,2026-05-16,True
Mejia and Sons,2025-08-25,2026-04-13,True
Li-Thomas,2025-11-15,2026-05-03,True
Ryan-Preston,2025-12-06,2026-04-04,True
"Martin, Fowler and Flynn",2025-09-09,2026-10-03,True
Dark Web Corp,2025-09-04,2026-09-23,True
Fraud Inc,2025-12-02,2026-04-20,True
